,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
41479,20191362F1133,406220.0,435565.0,-1.907013,53.816343999999994,13,2,2,1,15/02/2019,6,15:55,200,E08000032,3,629,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010590
41485,20191362F1637,416768.0,430884.0,-1.7470599999999998,53.774042,13,3,2,1,15/02/2019,6,19:15,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010616
41488,20191362G0545,418135.0,437579.0,-1.725928,53.83416999999999,13,3,2,1,16/02/2019,7,09:50,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01010688
41490,20191362G1224,413607.0,442283.0,-1.7945220000000002,53.876585999999996,13,3,2,2,16/02/2019,7,15:35,200,E08000032,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01010764
41492,20191362G2003,406129.0,441461.0,-1.90828,53.869338,13,3,1,1,16/02/2019,7,21:23,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010702
41493,20191362G2083,413788.0,435289.0,-1.79208,53.813719999999996,13,3,1,1,09/02/2019,7,21:55,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010675
41495,20191362G2237,416330.0,432543.0,-1.7536189999999998,53.78896700000001,13,3,2,2,16/02/2019,7,23:10,200,E08000032,3,641,3,30,6,2,3,647,0,4,4,1,1,0,0,1,1,E01010730
41498,20191362H0216,416320.0,432586.0,-1.753768,53.789353000000006,13,2,2,6,17/02/2019,1,02:26,200,E08000032,3,641,3,30,7,2,6,0,2,4,4,1,1,0,0,1,1,E01010730
41499,20191362H0442,417735.0,430610.0,-1.732404,53.771547999999996,13,2,2,1,17/02/2019,1,08:20,200,E08000032,3,6177,1,30,1,2,6,0,2,5,1,1,1,0,0,1,1,E01010615
41504,20191362H1335,418207.0,433569.0,-1.725069,53.798126,13,3,2,1,17/02/2019,1,17:40,200,E08000032,4,6381,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010622
41507,20191362I0808,413722.0,429024.0,-1.793359,53.757413,13,2,2,1,18/02/2019,2,13:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010874
41510,20191362I1757,416079.0,434910.0,-1.757306,53.810249,13,3,2,6,18/02/2019,2,20:15,200,E08000032,3,6037,6,30,6,1,6,0,0,5,4,1,2,0,0,1,1,E01010824
41511,20191362I1860,418649.0,432449.0,-1.7184259999999998,53.788045,13,3,2,1,18/02/2019,2,20:25,200,E08000032,3,6177,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010611
41513,20191362J0850,415840.0,434703.0,-1.760946,53.808395,13,3,2,1,19/02/2019,3,20:09,200,E08000032,6,0,6,30,6,2,6,0,0,0,4,1,1,0,0,1,2,E01010824
41515,20191362J1338,417448.0,433050.0,-1.736621,53.793488,13,3,2,1,19/02/2019,3,17:57,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010606
41516,20191362J1385,413239.0,434058.0,-1.80047,53.80266999999999,13,3,2,1,19/02/2019,3,18:29,200,E08000032,6,0,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010810
41518,20191362J1499,415852.0,432596.0,-1.7608709999999999,53.789457999999996,13,3,1,1,19/02/2019,3,19:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010731
41521,20191362J1560,414644.0,437230.0,-1.778988,53.831143000000004,13,3,2,1,19/02/2019,3,19:46,200,E08000032,6,0,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010787
41524,20191362K0408,413872.0,429196.0,-1.791076,53.75895500000001,13,3,2,1,20/02/2019,4,10:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010851
41526,20191362K0768,414497.0,431881.0,-1.7814709999999998,53.783069999999995,13,3,1,1,20/02/2019,4,13:40,200,E08000032,3,6177,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010839
41527,20191362K0868,416678.0,433452.0,-1.748288,53.797126,13,2,1,1,20/02/2019,4,14:30,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033693
41528,20191362K1100,417819.0,434686.0,-1.730896,53.808179,13,2,1,1,26/02/2019,3,16:31,200,E08000032,3,658,6,30,0,-1,-1,0,0,4,7,1,1,0,0,1,1,E01010828
41540,20191362L1633,406271.0,442137.0,-1.906107,53.875412,13,3,2,1,21/02/2019,5,18:05,200,E08000032,3,650,6,30,1,2,3,629,0,5,4,1,1,0,0,1,2,E01010702
